Date,Region,Channel,PoliciesSold,TotalPremium,TotalClaims,CustomerSatisfaction,CommissionRate,PolicyDurationMonths,AvgCustomerAge,ClaimFrequency,ClaimSeverity,RenewalRate,OperatingCost,Profit,LossRatio,ClaimsPerPolicy
01/02/2024,South,Branch,592,208957,115949,8.73,4.12,24,64,0.123,570.33,0.58,10732,82276,0.555,72.82
01/12/2024,West,Branch,229,137421,53270,10,4.45,6,33,0.325,717.66,0.66,10279,73872,0.388,74.42
01/05/2024,East,Online,764,242154,62299,7.12,5.72,12,53,0.35,411.53,0.58,7469,172386,0.257,267.4
01/01/2024,North,Online,112,56895,105805,9.46,6.75,12,66,0.351,324.81,0.74,6630,-55540,1.86,39.31
01/12/2024,South,Partner,733,231383,51541,7.09,5.16,12,53,0.149,895.57,0.68,19239,160603,0.223,109.22
01/10/2024,South,Partner,205,270566,93545,8.5,7.4,6,26,0.318,287.6,0.52,8278,168743,0.346,65.19
01/06/2024,South,Branch,474,248139,102543,8.89,5.75,24,41,0.457,819.22,0.61,7038,138558,0.413,216.62
01/12/2024,North,Online,681,121017,111998,5.01,7.87,12,69,0.209,664.79,0.51,10432,-1413,0.925,142.33
01/09/2024,East,Branch,797,73932,149188,8.91,7.82,12,55,0.145,888.91,0.64,15671,-90927,2.018,115.56
01/01/2024,South,Partner,198,71360,97078,9.38,7.09,6,52,0.397,774.25,0.6,10021,-35739,1.36,78.61
01/11/2024,West,Partner,693,104847,102970,9.1,7.73,12,67,0.13,425.33,0.78,9330,-7453,0.982,90.09
01/11/2024,South,Branch,686,290250,49765,10,6.83,24,63,0.164,659.54,0.62,11470,229015,0.171,112.5
01/10/2024,South,Partner,291,140365,43769,8.97,7.58,12,54,0.095,210.46,0.65,12077,84519,0.312,27.64
01/12/2024,South,Branch,424,135468,108001,7.46,4.95,12,59,0.171,580.17,0.79,17766,9701,0.797,72.5
01/12/2024,South,Online,566,88931,107404,9.24,5.38,6,44,0.235,268.81,0.69,15667,-34140,1.208,133.01
01/03/2024,East,Branch,466,105823,40156,7.41,7.01,24,40,0.079,543.16,0.72,9761,55906,0.379,36.81
01/12/2024,West,Online,417,88032,105836,8.08,5.7,6,58,0.442,287.69,0.84,10219,-28023,1.202,184.31
01/07/2024,East,Online,243,296991,138706,8.83,7.35,24,38,0.281,964.38,0.58,16501,141784,0.467,68.28
01/04/2024,West,Partner,483,262498,70481,8.45,7.51,12,50,0.315,618.45,0.9,16370,175647,0.269,152.15
01/09/2024,South,Partner,315,68807,33435,9.35,5.2,12,44,0.217,930.57,0.86,12001,23371,0.486,68.36
01/03/2024,North,Partner,460,192839,89650,10,7.29,12,66,0.351,217.89,0.61,6387,96802,0.465,161.46
01/05/2024,East,Branch,423,189143,66336,6.86,4.62,6,48,0.244,710.12,0.86,5641,117166,0.351,103.21
01/03/2024,North,Branch,114,103413,56135,7.67,5.34,12,67,0.393,445.56,0.8,10612,36666,0.543,44.8
01/07/2024,East,Partner,316,207221,93631,8.32,6.07,12,42,0.42,545.46,0.87,12210,101380,0.452,132.72
01/05/2024,South,Branch,591,65540,57909,7.54,4.91,6,67,0.352,898.47,0.78,5574,2057,0.884,208.03
01/09/2024,East,Partner,646,282284,89487,7.92,6.32,24,33,0.271,984.02,0.77,16336,176461,0.317,175.07
01/07/2024,South,Branch,282,120248,41468,8.78,6.31,6,43,0.402,397.19,0.5,14913,63867,0.345,113.36
01/02/2024,East,Online,369,272809,112609,8.64,4.83,12,44,0.272,958.6,0.69,14210,145990,0.413,100.37
01/04/2024,South,Online,566,160494,67655,8.25,7.18,12,66,0.1,750.98,0.58,12796,80043,0.422,56.6
01/09/2024,South,Partner,711,299643,54341,8.15,6.53,6,54,0.102,961.13,0.63,18615,226687,0.181,72.52
01/12/2024,West,Branch,618,135435,131663,7.78,5.27,12,50,0.477,649.89,0.89,17250,-13478,0.972,294.79
01/02/2024,South,Branch,641,69787,84182,9.4,4.93,12,55,0.146,968.61,0.53,16612,-31007,1.206,93.59
01/10/2024,West,Online,566,70982,71786,9.66,7.52,12,59,0.417,913.96,0.79,13591,-14395,1.011,236.02
01/09/2024,South,Online,404,72606,88304,9.02,7.34,12,27,0.161,302.87,0.57,9690,-25388,1.216,65.04
01/10/2024,North,Partner,243,191222,123606,6.85,4.92,12,64,0.244,448.63,0.5,6456,61160,0.646,59.29
01/05/2024,South,Online,210,267001,66514,7.74,4.14,24,53,0.345,394.45,0.7,6595,193892,0.249,72.45
01/02/2024,North,Partner,331,298495,140938,8.2,7.22,12,30,0.121,657.68,0.56,13308,144249,0.472,40.05
01/04/2024,North,Online,790,283867,53979,7.06,6.46,12,25,0.382,842.24,0.89,12986,216902,0.19,301.78
01/12/2024,South,Online,683,162223,110887,8.08,4.4,12,48,0.36,807.53,0.58,13574,37762,0.684,245.88
01/12/2024,North,Branch,691,96936,100981,8.02,6.35,6,62,0.294,781.4,0.58,18146,-22191,1.042,203.15
01/07/2024,West,Online,599,143286,75107,9.08,5.81,12,58,0.305,500.21,0.51,7129,61050,0.524,182.7
01/12/2024,East,Online,694,189665,148842,7.5,7.1,12,31,0.098,311.71,0.63,15042,25781,0.785,68.01
01/08/2024,South,Partner,653,198430,134119,9.16,4.84,24,35,0.246,368.47,0.51,5831,58480,0.676,160.64
01/03/2024,North,Online,372,263215,21160,7.04,5.81,24,35,0.089,793.34,0.7,9968,232087,0.08,33.11
01/01/2024,South,Partner,272,87381,107897,7.18,4.62,12,60,0.189,318.03,0.7,15892,-36408,1.235,51.41
01/04/2024,West,Online,106,171465,92577,7.62,7.83,12,44,0.455,378.36,0.52,15973,62915,0.54,48.23
01/02/2024,South,Online,254,271419,104303,8.05,7.11,12,40,0.309,539.64,0.6,8481,158635,0.384,78.49
01/08/2024,South,Partner,621,78074,30846,5.58,6.95,12,29,0.384,257.69,0.83,7117,40111,0.395,238.46
01/04/2024,North,Branch,645,201667,149861,8.46,6.76,12,48,0.308,370.15,0.69,9482,42324,0.743,198.66
01/02/2024,West,Partner,647,94194,124180,9.71,5.69,24,54,0.137,319.81,0.67,7006,-36992,1.318,88.64
01/06/2024,East,Partner,617,230449,39924,8.65,7.69,6,54,0.318,961.06,0.78,15763,174762,0.173,196.21
01/06/2024,East,Partner,314,76853,131193,7.79,4.29,12,63,0.39,353.22,0.79,13488,-67828,1.707,122.46
01/10/2024,North,Branch,233,123719,33882,6.92,7.21,24,61,0.112,889.42,0.8,11760,78077,0.274,26.1
01/04/2024,South,Online,384,201733,100274,6.19,4.86,12,57,0.418,291.84,0.83,13910,87549,0.497,160.51
01/06/2024,North,Partner,225,231565,106555,6.36,5.3,6,44,0.3,895.74,0.59,16328,108682,0.46,67.5
01/02/2024,North,Partner,538,168724,21095,7.87,6.08,6,46,0.052,679.55,0.53,10694,136935,0.125,27.98
01/10/2024,North,Branch,785,287777,124205,10,7.13,12,65,0.284,879.76,0.65,19513,144059,0.432,222.94
01/12/2024,South,Partner,251,217567,60983,5.28,7.35,12,45,0.228,893.88,0.84,11062,145522,0.28,57.23
01/02/2024,West,Online,430,63703,131215,8.7,6.33,12,61,0.183,677.1,0.53,8079,-75591,2.06,78.69
01/10/2024,North,Branch,637,234152,34123,7.32,5.61,12,51,0.397,934.16,0.73,10278,189751,0.146,252.89
01/04/2024,South,Online,482,211887,113668,7.66,7.79,24,62,0.455,668.36,0.78,5010,93209,0.536,219.31
01/08/2024,West,Online,214,210637,86615,7.06,4.99,12,59,0.393,770.05,0.69,9880,114142,0.411,84.1
01/07/2024,North,Branch,581,244393,115193,6.63,7.21,12,62,0.431,532.86,0.6,5410,123790,0.471,250.41
01/12/2024,East,Partner,383,167491,65278,8.13,6.45,12,64,0.459,931.25,0.63,16131,86082,0.39,175.8
01/09/2024,West,Online,174,108453,117911,8.26,5.51,6,30,0.461,859.33,0.53,15846,-25304,1.087,80.21
01/08/2024,North,Online,265,138478,110290,8.67,4.01,12,56,0.102,333.37,0.62,19490,8698,0.796,27.03
01/05/2024,West,Online,288,289594,71999,6.31,5.79,24,40,0.255,661.11,0.52,18517,199078,0.249,73.44
01/02/2024,West,Online,177,83161,51153,8.87,5.11,24,52,0.05,917.46,0.79,16378,15630,0.615,8.85
01/05/2024,West,Branch,701,237063,38344,8.89,4.42,6,40,0.278,834.45,0.86,16642,182077,0.162,194.88
01/08/2024,West,Branch,787,164296,119777,8.42,4.3,24,51,0.466,970.04,0.75,5598,38921,0.729,366.74
01/10/2024,West,Online,120,288411,57656,7.58,5.39,12,27,0.14,385.04,0.76,5823,224932,0.2,16.8
01/09/2024,West,Partner,665,190788,90515,8.31,6.46,12,45,0.338,493.97,0.69,12876,87397,0.474,224.77
01/12/2024,North,Online,283,288171,149515,7.84,7.35,6,62,0.34,605.75,0.56,15589,123067,0.519,96.22
01/12/2024,East,Partner,321,83349,21212,8.97,4.73,24,62,0.122,386.14,0.5,10217,51920,0.254,39.16
01/12/2024,South,Online,427,97098,140385,7.63,5.7,6,54,0.157,515.24,0.64,12086,-55373,1.446,67.04
01/09/2024,West,Partner,278,158435,29001,8.11,5.57,12,46,0.258,630.03,0.8,17306,112128,0.183,71.72
01/01/2024,South,Online,211,181204,98784,6.26,6.05,12,43,0.135,353.07,0.88,5312,77108,0.545,28.49
01/09/2024,North,Partner,158,101990,118723,8.31,7.24,6,55,0.313,405.35,0.67,16166,-32899,1.164,49.45
01/07/2024,West,Online,426,294360,101144,7.25,6.21,12,44,0.268,299.87,0.65,11671,181545,0.344,114.17
01/09/2024,East,Online,720,118921,56427,8.51,7.39,6,43,0.284,770.71,0.68,11700,50794,0.474,204.48
01/08/2024,South,Partner,768,217610,51368,8.79,6.07,12,26,0.111,489.24,0.67,16930,149312,0.236,85.25
01/01/2024,West,Branch,290,150572,90819,7.39,6.42,12,64,0.283,376.21,0.75,7492,52261,0.603,82.07
01/12/2024,North,Partner,299,280351,81160,8.03,5.75,12,63,0.072,605.86,0.79,15137,184054,0.289,21.53
01/08/2024,East,Branch,411,286981,45854,8.17,7.29,24,51,0.447,254.6,0.81,5230,235897,0.16,183.72
01/08/2024,South,Online,134,57213,30715,8.37,7.7,12,32,0.204,938.73,0.76,8740,17758,0.537,27.34
01/11/2024,South,Partner,478,174693,101701,8.79,6.56,6,69,0.435,435.57,0.68,15864,57128,0.582,207.93
01/03/2024,West,Partner,486,225295,78784,8.66,7.28,12,51,0.366,909.17,0.88,19694,126817,0.35,177.88
01/01/2024,East,Partner,336,141655,149193,7.62,4.24,12,39,0.395,598.1,0.78,16646,-24184,1.053,132.72
01/08/2024,East,Branch,715,118371,119644,9.6,7.62,24,36,0.192,880.12,0.67,16775,-18048,1.011,137.28
01/03/2024,East,Branch,618,118274,46797,8.75,4.76,6,38,0.152,397.65,0.68,5043,66434,0.396,93.94
01/03/2024,East,Online,382,157853,67573,9.41,5.03,12,31,0.233,340.22,0.83,12532,77748,0.428,89.01
01/01/2024,North,Branch,100,54134,96120,8.35,4.21,24,41,0.061,879.53,0.68,13092,-55078,1.776,6.1
01/11/2024,East,Branch,563,141428,34780,8.41,7.86,24,50,0.463,370.34,0.71,16116,90532,0.246,260.67
01/05/2024,South,Online,329,89601,57905,7.88,7.41,12,61,0.224,796.96,0.62,16885,14811,0.646,73.7
01/10/2024,South,Partner,271,123889,41573,7.56,7.65,12,44,0.495,475.67,0.84,12278,70038,0.336,134.15
01/07/2024,North,Partner,186,65690,136049,8.98,7.39,12,34,0.393,798.55,0.71,15462,-85821,2.071,73.1
01/10/2024,South,Online,652,51909,149651,8.26,5.92,6,43,0.086,926.12,0.72,8457,-106199,2.883,56.07
01/09/2024,South,Partner,222,141239,53359,7.87,7.7,24,42,0.347,985.31,0.85,16141,71739,0.378,77.03
01/12/2024,East,Branch,397,130032,86062,6.98,7.88,6,54,0.172,487.85,0.87,10384,33586,0.662,68.28
01/07/2024,South,Online,789,62062,93391,9.56,6.01,12,54,0.16,494.02,0.83,15510,-46839,1.505,126.24
01/09/2024,North,Online,674,125386,63463,8.11,4.7,12,49,0.165,985.11,0.53,19547,42376,0.506,111.21
01/08/2024,East,Online,583,274309,119596,6.77,6.63,12,48,0.462,889.22,0.68,10615,144098,0.436,269.35
01/12/2024,West,Partner,264,215803,136342,8.08,7.9,12,34,0.275,236.07,0.64,16577,62884,0.632,72.6
01/02/2024,East,Online,798,186225,115018,7.8,7.49,12,26,0.351,658.76,0.59,10506,60701,0.618,280.1
01/01/2024,North,Online,482,191553,36571,7.76,7.45,12,62,0.176,345,0.86,15486,139496,0.191,84.83
01/07/2024,East,Online,308,149270,117276,8.58,7.74,12,56,0.285,995.21,0.86,7995,23999,0.786,87.78
01/07/2024,East,Partner,531,116425,148568,7.8,7.58,12,59,0.208,311.14,0.69,8638,-40781,1.276,110.45
01/08/2024,North,Branch,488,244672,39142,7.69,7.11,24,61,0.195,647.48,0.55,18108,187422,0.16,95.16
01/05/2024,East,Online,659,134981,45104,9.36,6.87,24,31,0.161,732.16,0.51,12517,77360,0.334,106.1
01/03/2024,North,Branch,323,253069,28625,6.26,5.06,12,31,0.234,949.65,0.68,19407,205037,0.113,75.58
01/12/2024,North,Partner,102,154470,59199,7.95,6.49,12,51,0.347,877.81,0.52,16559,78712,0.383,35.39
01/08/2024,West,Partner,471,209277,140725,8.93,6.09,12,34,0.15,396.6,0.74,8284,60268,0.672,70.65
01/06/2024,South,Partner,786,138887,35926,8.63,7.45,12,57,0.484,658.1,0.74,15534,87427,0.259,380.42
01/11/2024,South,Partner,545,131542,51218,9.02,5.97,24,67,0.106,962.86,0.86,13362,66962,0.389,57.77
01/03/2024,East,Branch,710,225221,64472,10,4.51,12,31,0.266,788.57,0.58,9341,151408,0.286,188.86
01/01/2024,East,Online,215,99112,111916,9.7,4.02,6,30,0.088,750.67,0.65,18452,-31256,1.129,18.92
01/03/2024,West,Partner,369,192012,143182,6.84,6.71,24,30,0.06,803.92,0.84,14831,33999,0.746,22.14
01/05/2024,West,Partner,546,109010,40566,6.39,6.2,12,37,0.465,458,0.69,5616,62828,0.372,253.89
01/03/2024,West,Branch,467,257866,76125,8.33,5.32,12,37,0.415,783.4,0.52,5239,176502,0.295,193.8
01/01/2024,North,Branch,352,74485,53205,6.65,4.68,24,26,0.362,386.28,0.54,11052,10228,0.714,127.42
01/05/2024,West,Partner,416,139299,129084,6.07,5.87,12,43,0.439,542.48,0.83,11454,-1239,0.927,182.62
01/10/2024,West,Online,514,155584,49717,8.32,4.4,12,43,0.411,911.94,0.8,18727,87140,0.32,211.25
01/07/2024,East,Online,194,182139,69984,8.57,5.34,12,62,0.341,215.18,0.85,17685,94470,0.384,66.15
01/07/2024,West,Partner,123,70607,127292,9.71,5.52,12,26,0.431,531.45,0.55,15048,-71733,1.803,53.01
01/11/2024,North,Branch,727,290491,45135,8.77,5.86,12,50,0.226,413.46,0.8,14114,231242,0.155,164.3
01/09/2024,North,Partner,762,111597,48164,9.92,5.87,6,30,0.299,358.87,0.76,9887,53546,0.432,227.84
01/10/2024,East,Partner,149,124554,94489,8.36,5.03,6,44,0.399,870.86,0.59,19194,10871,0.759,59.45
01/10/2024,West,Branch,601,229593,58562,6.86,7.4,12,47,0.088,757.2,0.89,6904,164127,0.255,52.89
01/12/2024,West,Partner,597,293554,89110,8.82,5.42,12,39,0.436,290.11,0.73,11165,193279,0.304,260.29
01/03/2024,North,Partner,434,65187,40169,9.33,4.92,6,30,0.121,595.57,0.86,16341,8677,0.616,52.51
01/07/2024,West,Partner,178,283983,79858,8.39,4.7,24,52,0.439,573.52,0.84,5812,198313,0.281,78.14
01/01/2024,West,Branch,681,53985,41604,9.45,5.29,12,59,0.19,314.02,0.63,9999,2382,0.771,129.39
01/04/2024,West,Online,126,224124,109670,7.88,4.27,6,35,0.197,839.81,0.71,12642,101812,0.489,24.82
01/04/2024,South,Online,370,200635,134605,8.55,4.13,12,32,0.083,493.34,0.67,6730,59300,0.671,30.71
01/05/2024,East,Branch,661,228394,108738,7.83,6.42,24,48,0.449,809.55,0.78,14023,105633,0.476,296.79
01/07/2024,South,Online,346,283914,20684,10,6.48,12,45,0.129,353.65,0.74,8424,254806,0.073,44.63
01/07/2024,East,Partner,690,242317,148140,8.84,6.12,6,60,0.334,452.06,0.81,18682,75495,0.611,230.46
01/11/2024,North,Online,486,101514,122537,6.88,7.05,6,31,0.34,276.14,0.5,11062,-32085,1.207,165.24
01/04/2024,West,Partner,658,68608,135265,9.85,4.16,12,29,0.177,314.78,0.78,18332,-84989,1.972,116.47
01/07/2024,East,Online,460,285747,131301,7.27,7.74,12,53,0.494,906.55,0.63,19842,134604,0.46,227.24
01/11/2024,South,Branch,587,248334,28007,8.01,4.38,12,40,0.079,287.29,0.59,7207,213120,0.113,46.37
01/03/2024,West,Online,451,273190,134915,8.47,6.7,24,30,0.324,276.58,0.82,18031,120244,0.494,146.12
01/06/2024,North,Online,355,121327,120632,8.55,4.53,12,38,0.266,952.3,0.54,16624,-15929,0.994,94.43
01/12/2024,East,Online,321,238297,137419,8.48,7.52,24,26,0.16,716.72,0.59,18100,82778,0.577,51.36
01/02/2024,East,Branch,100,255066,61787,6.87,6.04,24,49,0.124,280.73,0.58,18867,174412,0.242,12.4
01/10/2024,East,Online,645,67221,69582,8.49,4.33,24,55,0.382,977.37,0.67,8368,-10729,1.035,246.39
01/09/2024,West,Branch,545,98506,94791,9.1,6.47,24,37,0.462,317.68,0.63,10471,-6756,0.962,251.79
01/05/2024,South,Partner,178,70968,117798,9.07,4.04,24,42,0.098,813.08,0.79,7227,-54057,1.66,17.44
01/06/2024,South,Online,335,177677,103629,6.7,7.1,12,41,0.137,227.88,0.78,12639,61409,0.583,45.9
01/12/2024,East,Branch,433,263678,25782,7.34,6.6,12,69,0.494,699.63,0.63,18938,218958,0.098,213.9
01/12/2024,North,Branch,448,209009,86770,6.96,4.85,12,52,0.057,637.36,0.67,15452,106787,0.415,25.54
01/12/2024,North,Online,197,243507,77645,8.34,5.5,24,36,0.279,366.4,0.58,17817,148045,0.319,54.96
01/12/2024,South,Partner,181,230580,123509,6.45,4.03,12,59,0.282,714.52,0.77,18706,88365,0.536,51.04
01/04/2024,North,Branch,601,222903,119724,6.88,6.77,6,46,0.168,693.64,0.66,19362,83817,0.537,100.97
01/11/2024,South,Online,576,224005,51996,7.33,5.29,6,63,0.348,838.68,0.55,18226,153783,0.232,200.45
01/10/2024,East,Partner,649,228379,49204,6.2,6.29,24,25,0.475,900.7,0.55,16109,163066,0.215,308.27
01/07/2024,South,Branch,113,229412,37152,7.97,7.83,12,61,0.253,608.08,0.63,16712,175548,0.162,28.59
01/12/2024,South,Branch,491,152951,75186,5.89,5.2,12,45,0.387,592.24,0.8,19773,57992,0.492,190.02
01/09/2024,East,Partner,446,158306,127900,8.49,7.96,12,25,0.341,697.28,0.51,9380,21026,0.808,152.09
01/07/2024,North,Partner,409,267410,110555,7.6,6.53,12,28,0.263,783.37,0.6,15900,140955,0.413,107.57
01/01/2024,South,Online,485,93601,105024,7.38,4.97,6,56,0.072,484.94,0.56,6820,-18243,1.122,34.92
01/01/2024,South,Online,308,257028,122659,7.54,5.75,12,25,0.384,603.71,0.88,13840,120529,0.477,118.27
01/09/2024,East,Branch,456,122178,39689,7.94,6.96,12,37,0.213,668.08,0.78,5188,77301,0.325,97.13
01/11/2024,North,Partner,700,266383,70690,8.59,5.79,24,41,0.151,990.7,0.59,19013,176680,0.265,105.7
01/09/2024,South,Partner,667,209826,114042,9.32,4.27,12,36,0.477,670.17,0.58,14414,81370,0.544,318.16
01/04/2024,East,Partner,193,224382,103251,9.01,4.67,12,31,0.398,379.35,0.84,10221,110910,0.46,76.81
01/09/2024,South,Branch,192,119893,77320,10,7.17,12,27,0.483,670.39,0.58,13670,28903,0.645,92.74
01/03/2024,West,Partner,439,136799,84226,8.68,6.59,12,50,0.165,855.6,0.9,11746,40827,0.616,72.44
01/07/2024,East,Partner,696,98367,76091,8.14,6.28,12,55,0.426,885.92,0.61,19331,2945,0.774,296.5
01/06/2024,North,Branch,544,63201,126565,7.54,4.67,12,60,0.323,840.2,0.53,16254,-79618,2.003,175.71
01/08/2024,North,Online,121,183811,99301,7.58,7.35,24,50,0.492,910.57,0.78,15217,69293,0.54,59.53
01/11/2024,North,Online,390,63231,41942,8.54,7.84,12,27,0.476,467.81,0.74,9612,11677,0.663,185.64
01/09/2024,North,Branch,584,288886,58712,7,4.16,12,68,0.488,606.06,0.9,6888,223286,0.203,284.99
01/05/2024,South,Partner,405,223567,146315,8.23,4.31,24,52,0.478,823.67,0.82,6550,70702,0.654,193.59
01/01/2024,South,Branch,733,202240,125430,7.98,7.54,24,68,0.053,411.56,0.67,18828,57982,0.62,38.85
01/03/2024,North,Online,227,213696,85277,7.27,7.26,12,41,0.383,497.27,0.77,12059,116360,0.399,86.94
01/10/2024,North,Online,724,191707,69632,6.95,6.47,12,62,0.172,864.92,0.83,19565,102510,0.363,124.53
01/12/2024,North,Branch,372,59964,58031,10,7.78,24,54,0.367,816.07,0.71,16108,-14175,0.968,136.52
01/08/2024,South,Branch,541,208857,40478,6.6,6.59,24,26,0.491,976.96,0.61,10233,158146,0.194,265.63
01/11/2024,North,Online,602,276118,42551,7.93,4.86,24,32,0.068,996.78,0.58,10635,222932,0.154,40.94
01/06/2024,North,Branch,229,263869,68068,9.22,6.91,12,38,0.305,392.6,0.62,16447,179354,0.258,69.84
01/08/2024,West,Online,231,265862,113608,8.53,6.58,12,61,0.381,920.36,0.84,19036,133218,0.427,88.01
01/09/2024,West,Branch,696,258000,55561,7.53,7.94,6,59,0.164,275.61,0.65,15998,186441,0.215,114.14
01/04/2024,North,Branch,581,62336,22892,6.81,4.86,12,66,0.151,767.84,0.61,5033,34411,0.367,87.73
01/01/2024,East,Branch,489,127475,119502,8.13,6.39,24,63,0.077,376.08,0.82,13487,-5514,0.937,37.65
01/01/2024,North,Online,692,208484,44395,5.36,7.12,24,35,0.092,440.25,0.51,15692,148397,0.213,63.66
01/10/2024,West,Branch,424,132212,38756,8.17,5.36,12,39,0.346,957.06,0.74,16971,76485,0.293,146.7
01/04/2024,East,Online,168,125379,136580,8.03,5.52,12,26,0.277,410.52,0.85,16768,-27969,1.089,46.54
01/12/2024,East,Online,759,95591,107710,9.07,7.55,12,61,0.064,738.54,0.66,6429,-18548,1.127,48.58
01/07/2024,North,Branch,547,111750,54651,6.86,5.62,12,67,0.486,342.5,0.61,10246,46853,0.489,265.84
01/02/2024,West,Branch,627,140648,140155,7.68,6.5,12,56,0.345,274.71,0.7,15381,-14888,0.996,216.31
01/03/2024,West,Online,716,146134,86333,8.44,7.56,12,64,0.282,471.45,0.79,6987,52814,0.591,201.91
01/01/2024,East,Online,264,216526,93745,8.21,4.84,6,37,0.173,699.36,0.71,17935,104846,0.433,45.67
01/05/2024,North,Partner,587,148537,126539,6.66,7.93,12,67,0.346,398.36,0.5,11271,10727,0.852,203.1
01/01/2024,South,Online,525,112672,69306,7.35,6.81,12,41,0.214,440.14,0.53,7882,35484,0.615,112.35
01/08/2024,South,Partner,796,77228,41346,9.4,5.98,24,39,0.366,766.98,0.79,14901,20981,0.535,291.34
01/01/2024,West,Partner,364,64429,133561,8.26,5.72,12,57,0.357,282.24,0.66,15969,-85101,2.073,129.95
01/11/2024,South,Partner,711,134294,48024,6.34,7.82,24,40,0.092,557.52,0.81,16889,69381,0.358,65.41
01/01/2024,West,Branch,441,248880,114950,8.88,4.82,12,37,0.459,953.39,0.76,6547,127383,0.462,202.42
01/02/2024,West,Branch,377,263958,138768,6.4,5.25,6,46,0.269,517.58,0.73,5462,119728,0.526,101.41
01/02/2024,West,Online,773,165577,60818,7.69,5.23,12,47,0.227,547.36,0.86,16507,88252,0.367,175.47
01/12/2024,South,Partner,538,234087,25947,8.56,5.16,12,60,0.48,790.56,0.51,11707,196433,0.111,258.24
01/06/2024,West,Branch,256,138074,95153,9.21,5.87,12,67,0.247,823.21,0.56,10305,32616,0.689,63.23
01/07/2024,East,Branch,521,118936,106240,5.66,7.96,12,34,0.375,815.69,0.75,16496,-3800,0.893,195.38
01/05/2024,North,Branch,350,261979,147192,8.71,7.56,6,41,0.345,998.29,0.53,5513,109274,0.562,120.75
01/01/2024,North,Branch,708,107378,146519,8.86,5.31,12,54,0.124,257.16,0.76,17288,-56429,1.365,87.79
01/01/2024,West,Branch,629,87310,114238,7.44,5.69,6,37,0.496,985.8,0.89,18550,-45478,1.308,311.98
01/03/2024,North,Partner,426,151827,87428,8.09,6.68,12,54,0.259,960.15,0.85,10174,54225,0.576,110.33
01/02/2024,South,Partner,196,264755,49754,4.95,4.07,12,54,0.228,881.71,0.74,8566,206435,0.188,44.69
01/05/2024,South,Partner,612,249899,83355,5.25,7.28,6,31,0.464,563.3,0.86,8803,157741,0.334,283.97
