OrderID,OrderDate,Region,Channel,CustomerID,ProductCategory,UnitsSold,UnitPrice,DiscountPct,GrossSales,NetSales,COGS,Profit,ReturnReason
ORD10054,2023-08-21,West,Online,CUST435,Electronics,2,456.38,0.158,912.76,768.51,512.86,255.64,
ORD10055,2024-09-27,East,Online,CUST209,Beauty,3,388.76,0.048,1166.27,1110.78,884.31,226.47,
ORD10056,2024-03-06,West,Partner,CUST452,Electronics,3,282.5,0.15,847.49,720.4,507.92,212.49,
ORD10057,2023-08-30,North,Store,CUST213,Clothing,4,114.62,0.227,458.48,354.51,279.79,74.72,
ORD10058,2023-05-29,East,Online,CUST147,Clothing,1,122.75,0.0,122.75,122.74,97.6,25.14,Size/Fit
ORD10059,2024-03-14,West,Store,CUST342,Clothing,6,373.91,0.32,2243.44,1525.93,1149.74,376.19,Other
ORD10060,2023-09-22,West,Partner,CUST327,Sports,1,430.96,0.369,430.96,271.96,170.2,101.75,
ORD10061,2024-02-12,South,Store,CUST437,Furniture,7,246.72,0.247,1727.06,1300.69,846.99,453.7,Other
ORD10062,2023-09-27,West,Online,CUST422,Clothing,2,152.85,0.312,305.69,210.41,143.23,67.18,
ORD10063,2023-05-20,West,Partner,CUST116,Sports,1,198.51,0.054,198.51,187.74,129.71,58.03,
ORD10064,2023-11-28,East,Online,CUST246,Beauty,4,478.93,0.383,1915.72,1182.96,792.01,390.95,Late Delivery
ORD10065,2024-07-19,South,Online,CUST260,Clothing,4,382.12,0.044,1528.47,1461.16,1102.11,359.04,
ORD10066,2023-08-12,South,Store,CUST387,Electronics,1,33.14,0.304,33.14,23.06,15.72,7.34,Size/Fit
ORD10067,2024-01-29,West,Store,CUST331,Furniture,7,229.31,0.127,1605.18,1400.72,870.04,530.68,Other
ORD10068,2024-04-08,North,Store,CUST433,Sports,6,478.81,0.279,2872.87,2070.83,1555.92,514.91,
ORD10069,2023-08-06,North,Online,CUST398,Electronics,1,265.31,0.317,265.31,181.19,110.66,70.53,
ORD10070,2023-10-29,West,Store,CUST331,Clothing,5,336.75,0.22,1683.73,1313.7,731.58,582.12,
ORD10071,2023-12-12,South,Partner,CUST463,Sports,3,75.7,0.376,227.1,141.82,105.46,36.36,
ORD10072,2023-02-02,West,Store,CUST116,Electronics,5,99.51,0.337,497.54,330.06,257.43,72.63,
ORD10073,2024-12-08,South,Partner,CUST251,Beauty,4,75.38,0.097,301.52,272.18,158.01,114.17,Size/Fit
ORD10074,2023-05-25,East,Online,CUST411,Electronics,1,241.4,0.105,241.4,215.98,137.96,78.02,Late Delivery
ORD10075,2023-01-22,South,Online,CUST488,Sports,6,191.01,0.064,1146.07,1073.24,649.56,423.68,
ORD10076,2023-04-01,North,Online,CUST435,Electronics,5,239.81,0.098,1199.07,1081.25,709.73,371.51,Late Delivery
ORD10077,2024-06-04,South,Partner,CUST301,Sports,3,115.42,0.262,346.26,255.46,189.34,66.12,Damaged
ORD10078,2023-04-23,East,Store,CUST316,Clothing,7,230.71,0.396,1614.95,976.0,713.25,262.74,Damaged
ORD10079,2023-01-10,West,Online,CUST156,Sports,6,193.51,0.322,1161.03,787.72,508.55,279.17,
ORD10080,2023-10-19,East,Online,CUST351,Furniture,4,241.42,0.106,965.69,863.59,678.69,184.89,Size/Fit
ORD10081,2024-04-12,West,Online,CUST293,Clothing,5,179.11,0.31,895.56,618.25,413.61,204.64,Size/Fit
ORD10082,2024-07-24,North,Store,CUST295,Clothing,4,155.69,0.291,622.77,441.66,244.57,197.09,Size/Fit
ORD10083,2023-10-15,West,Partner,CUST312,Clothing,2,320.26,0.266,640.52,470.19,283.49,186.71,Late Delivery
ORD10084,2023-08-19,North,Store,CUST399,Electronics,1,288.38,0.094,288.38,261.21,179.61,81.6,Damaged
ORD10085,2024-09-18,East,Online,CUST302,Clothing,1,177.88,0.321,177.88,120.84,95.6,25.24,
ORD10086,2023-07-21,North,Store,CUST179,Beauty,3,288.36,0.355,865.08,558.26,411.34,146.92,
ORD10087,2024-01-05,North,Store,CUST351,Sports,1,258.14,0.239,258.14,196.48,145.21,51.28,
ORD10088,2023-04-01,North,Store,CUST180,Electronics,1,150.8,0.263,150.8,111.13,70.13,41.0,
ORD10089,2024-09-15,South,Store,CUST168,Sports,7,53.56,0.396,374.91,226.38,162.67,63.71,
ORD10090,2024-01-27,East,Online,CUST189,Sports,4,271.23,0.011,1084.92,1072.73,708.6,364.14,Other
ORD10091,2024-05-20,South,Partner,CUST434,Clothing,2,420.14,0.36,840.28,537.99,364.98,173.01,
ORD10092,2023-07-07,East,Store,CUST394,Electronics,7,91.96,0.168,643.72,535.59,327.55,208.04,
ORD10093,2023-04-10,West,Online,CUST174,Electronics,6,476.78,0.241,2860.66,2170.11,1482.1,688.01,Damaged
ORD10094,2023-03-09,North,Online,CUST223,Beauty,6,124.56,0.1,747.39,672.68,428.97,243.7,
ORD10095,2024-09-24,South,Store,CUST495,Furniture,3,483.79,0.025,1451.37,1414.4,949.47,464.93,
ORD10096,2023-03-09,West,Store,CUST196,Furniture,6,110.21,0.344,661.26,433.69,344.46,89.23,
ORD10097,2023-10-09,West,Store,CUST114,Furniture,3,99.03,0.368,297.1,187.65,120.98,66.68,
ORD10098,2023-10-31,East,Partner,CUST132,Electronics,3,480.55,0.197,1441.65,1157.41,854.06,303.35,
ORD10099,2024-12-26,North,Partner,CUST340,Sports,7,363.27,0.114,2542.88,2254.13,1770.24,483.89,
ORD10100,2023-07-28,North,Store,CUST105,Electronics,2,275.44,0.343,550.89,362.09,277.47,84.62,
ORD10101,2024-02-05,North,Store,CUST466,Sports,3,413.53,0.018,1240.6,1218.25,874.92,343.33,
ORD10102,2024-06-11,South,Store,CUST381,Clothing,3,37.15,0.081,111.44,102.44,79.58,22.86,
ORD10103,2024-04-26,East,Online,CUST257,Furniture,1,382.93,0.288,382.93,272.84,156.96,115.88,
ORD10104,2024-09-28,West,Partner,CUST257,Furniture,3,176.96,0.393,530.89,322.35,225.97,96.39,
ORD10105,2023-09-16,South,Partner,CUST341,Sports,3,425.21,0.153,1275.64,1079.87,610.32,469.54,Size/Fit
ORD10106,2024-02-10,South,Partner,CUST254,Electronics,7,69.58,0.289,487.07,346.37,271.22,75.16,
ORD10107,2023-05-20,East,Online,CUST305,Sports,2,437.21,0.278,874.43,631.55,488.64,142.91,
ORD10108,2023-10-30,North,Online,CUST406,Electronics,1,274.54,0.169,274.54,228.09,134.43,93.66,
ORD10109,2024-04-30,North,Partner,CUST280,Furniture,2,367.02,0.36,734.04,470.06,289.51,180.55,Damaged
ORD10110,2023-09-30,East,Store,CUST382,Clothing,2,414.27,0.327,828.53,557.62,395.34,162.27,Other
ORD10111,2023-02-26,South,Store,CUST233,Beauty,3,367.69,0.232,1103.06,846.66,542.78,303.88,
ORD10112,2024-12-25,East,Store,CUST358,Sports,1,331.67,0.351,331.67,215.37,122.75,92.63,
ORD10113,2023-08-06,South,Store,CUST225,Furniture,1,270.54,0.095,270.54,244.84,150.99,93.85,Damaged
ORD10114,2024-06-22,South,Online,CUST167,Clothing,4,258.48,0.263,1033.94,762.43,599.24,163.19,
ORD10115,2024-02-12,North,Store,CUST340,Beauty,3,173.22,0.193,519.67,419.23,233.17,186.06,
ORD10116,2024-10-18,West,Online,CUST291,Beauty,4,477.87,0.035,1911.49,1845.13,1228.56,616.57,
ORD10117,2023-10-11,South,Store,CUST321,Furniture,4,374.57,0.165,1498.28,1250.83,709.88,540.95,Damaged
ORD10118,2024-05-24,West,Store,CUST165,Clothing,1,32.48,0.127,32.48,28.34,19.05,9.29,
ORD10119,2024-10-13,South,Partner,CUST423,Furniture,2,405.58,0.027,811.17,788.9,617.27,171.63,
ORD10120,2023-05-31,East,Online,CUST123,Clothing,6,290.74,0.292,1744.46,1235.38,830.49,404.89,
ORD10121,2024-01-15,South,Online,CUST254,Furniture,6,206.04,0.314,1236.22,848.54,562.94,285.6,
ORD10122,2024-03-01,West,Online,CUST201,Sports,7,469.05,0.094,3283.33,2973.86,1746.45,1227.41,
ORD10123,2024-05-27,West,Online,CUST243,Beauty,4,49.53,0.06,198.12,186.2,134.9,51.29,
ORD10124,2023-10-30,South,Online,CUST336,Clothing,5,116.49,0.028,582.47,565.97,336.73,229.24,
ORD10125,2024-01-13,South,Partner,CUST392,Electronics,2,54.82,0.115,109.65,97.07,77.45,19.61,
ORD10126,2024-12-01,East,Store,CUST230,Furniture,2,22.41,0.369,44.83,28.3,17.36,10.94,Other
ORD10127,2023-07-21,East,Store,CUST234,Electronics,1,104.88,0.272,104.88,76.35,43.48,32.86,
ORD10128,2024-03-15,South,Partner,CUST139,Clothing,6,156.76,0.334,940.56,626.79,375.05,251.74,
ORD10129,2023-11-10,East,Store,CUST307,Clothing,2,267.82,0.106,535.65,478.65,285.72,192.93,
ORD10130,2023-07-25,West,Online,CUST136,Sports,7,66.67,0.029,466.67,453.31,312.07,141.24,
ORD10131,2023-10-25,South,Online,CUST257,Electronics,1,374.75,0.355,374.75,241.85,142.99,98.85,
ORD10132,2023-07-05,North,Store,CUST464,Furniture,1,167.76,0.268,167.76,122.74,71.82,50.92,
ORD10133,2023-03-19,West,Online,CUST474,Sports,3,201.98,0.203,605.95,483.15,351.56,131.59,
ORD10134,2023-01-18,East,Store,CUST494,Clothing,5,435.68,0.269,2178.39,1591.42,1233.08,358.34,Other
ORD10135,2023-05-21,East,Partner,CUST307,Electronics,1,342.67,0.324,342.67,231.52,150.01,81.51,
ORD10136,2023-09-13,North,Store,CUST161,Electronics,6,286.46,0.123,1718.78,1506.72,906.9,599.82,
ORD10137,2023-01-24,East,Partner,CUST352,Clothing,4,398.01,0.111,1592.04,1414.91,1071.18,343.74,Size/Fit
ORD10138,2024-04-20,West,Store,CUST482,Electronics,3,130.21,0.204,390.64,310.99,210.37,100.62,
ORD10139,2024-04-15,West,Partner,CUST412,Furniture,4,241.52,0.238,966.06,736.24,447.58,288.66,
ORD10140,2023-09-04,East,Store,CUST195,Furniture,4,415.57,0.121,1662.28,1460.37,1062.45,397.91,
ORD10141,2023-04-24,South,Online,CUST236,Beauty,6,247.08,0.034,1482.51,1431.47,1031.94,399.53,
ORD10142,2023-02-07,North,Partner,CUST478,Clothing,6,171.39,0.264,1028.34,756.85,557.28,199.57,Late Delivery
ORD10143,2023-05-11,West,Online,CUST219,Furniture,3,251.83,0.37,755.5,476.24,354.32,121.92,
ORD10144,2024-07-04,West,Store,CUST350,Sports,1,253.68,0.186,253.68,206.49,129.82,76.67,
ORD10145,2023-02-14,East,Online,CUST452,Sports,3,176.4,0.284,529.19,378.89,300.52,78.37,Late Delivery
ORD10146,2024-10-19,West,Online,CUST177,Clothing,1,134.58,0.338,134.58,89.14,65.75,23.4,
ORD10147,2024-08-23,East,Store,CUST360,Furniture,2,271.48,0.022,542.95,531.2,348.05,183.15,
ORD10148,2023-04-12,East,Online,CUST218,Clothing,7,130.7,0.379,914.87,568.59,343.92,224.67,
ORD10149,2023-03-08,North,Online,CUST434,Electronics,4,249.83,0.389,999.32,610.73,401.21,209.52,
ORD10150,2023-07-17,North,Store,CUST386,Clothing,5,20.43,0.302,102.16,71.28,56.65,14.64,
ORD10151,2024-05-22,East,Partner,CUST161,Furniture,4,232.95,0.217,931.81,729.48,429.02,300.46,
ORD10152,2023-05-15,East,Store,CUST100,Clothing,6,19.89,0.344,119.35,78.27,59.85,18.42,Late Delivery
ORD10153,2023-03-11,West,Online,CUST303,Electronics,5,141.79,0.121,708.94,623.25,456.95,166.29,
ORD10154,2023-06-10,South,Online,CUST428,Electronics,4,157.09,0.155,628.35,530.7,404.31,126.39,Other
ORD10155,2023-12-15,North,Online,CUST246,Furniture,7,372.62,0.167,2608.31,2171.71,1544.06,627.66,
ORD10156,2024-06-04,North,Partner,CUST482,Clothing,1,386.84,0.366,386.84,245.19,153.36,91.83,
ORD10157,2023-12-11,West,Online,CUST422,Beauty,2,407.5,0.34,815.0,538.15,368.18,169.96,Size/Fit
ORD10158,2024-12-23,North,Online,CUST176,Clothing,3,340.28,0.091,1020.83,927.54,602.56,324.98,
ORD10159,2023-03-23,North,Online,CUST472,Clothing,4,127.03,0.125,508.13,444.37,348.92,95.45,
ORD10160,2024-11-17,West,Store,CUST146,Clothing,4,127.18,0.097,508.72,459.46,277.16,182.3,
ORD10161,2024-08-01,West,Online,CUST408,Electronics,2,230.97,0.003,461.93,460.57,323.22,137.35,
ORD10162,2023-12-22,South,Online,CUST188,Beauty,2,138.76,0.051,277.52,263.28,183.4,79.87,
ORD10163,2023-08-07,South,Partner,CUST271,Sports,6,235.04,0.217,1410.22,1103.6,636.87,466.73,
ORD10164,2023-01-12,South,Online,CUST412,Sports,6,187.86,0.389,1127.16,688.64,536.82,151.81,
ORD10165,2023-09-11,East,Store,CUST350,Electronics,4,416.05,0.276,1664.2,1204.67,811.88,392.79,
ORD10166,2023-10-25,South,Online,CUST156,Furniture,4,418.12,0.109,1672.47,1489.8,1100.54,389.26,Damaged
ORD10167,2023-08-18,South,Store,CUST322,Clothing,4,328.19,0.286,1312.78,937.66,694.86,242.79,
ORD10168,2023-11-26,North,Online,CUST119,Beauty,6,127.39,0.369,764.33,482.31,331.35,150.96,Other
ORD10169,2024-06-30,West,Online,CUST449,Beauty,3,219.57,0.37,658.71,414.88,312.69,102.19,
ORD10170,2023-06-27,West,Store,CUST192,Clothing,2,275.89,0.122,551.78,484.25,325.7,158.55,
ORD10171,2023-12-23,North,Online,CUST107,Electronics,4,244.18,0.389,976.74,597.05,404.44,192.61,
ORD10172,2023-07-30,West,Store,CUST498,Beauty,7,88.69,0.303,620.84,432.94,314.17,118.77,
ORD10173,2023-04-29,South,Online,CUST292,Electronics,4,99.82,0.379,399.3,247.8,151.45,96.35,Damaged
ORD10174,2024-02-14,West,Partner,CUST352,Electronics,5,192.59,0.4,962.95,577.9,399.35,178.55,
ORD10175,2024-08-21,South,Online,CUST176,Clothing,5,66.26,0.111,331.28,294.39,177.29,117.1,
ORD10176,2023-07-18,West,Store,CUST431,Electronics,1,150.98,0.075,150.98,139.7,90.92,48.77,
ORD10177,2024-02-04,East,Online,CUST221,Electronics,2,61.25,0.364,122.5,77.9,55.85,22.04,
ORD10178,2023-10-01,East,Online,CUST343,Beauty,6,316.77,0.078,1900.61,1753.22,1047.2,706.02,
ORD10179,2023-06-23,West,Store,CUST337,Clothing,1,432.71,0.338,432.71,286.42,207.83,78.59,
ORD10180,2024-10-27,West,Store,CUST200,Beauty,1,425.37,0.109,425.37,379.1,301.27,77.84,Size/Fit
ORD10181,2024-04-05,North,Partner,CUST365,Electronics,4,381.14,0.029,1524.56,1480.61,952.54,528.07,
ORD10182,2024-11-02,West,Online,CUST192,Beauty,3,149.77,0.346,449.32,293.77,183.1,110.67,
ORD10183,2023-11-11,South,Store,CUST189,Electronics,1,77.9,0.032,77.9,75.42,52.58,22.84,
ORD10184,2023-05-01,East,Store,CUST231,Electronics,6,279.63,0.317,1677.78,1146.36,698.42,447.94,
ORD10185,2024-06-13,North,Store,CUST216,Beauty,6,314.39,0.247,1886.32,1420.17,999.66,420.51,
ORD10186,2024-12-01,West,Partner,CUST447,Furniture,3,469.23,0.027,1407.68,1369.38,897.48,471.9,Size/Fit
ORD10187,2023-04-23,South,Online,CUST242,Clothing,5,475.15,0.294,2375.74,1677.4,974.85,702.54,
ORD10188,2023-12-16,North,Store,CUST109,Furniture,2,438.45,0.13,876.9,762.79,546.7,216.09,
ORD10189,2024-12-25,East,Store,CUST454,Sports,1,51.51,0.266,51.51,37.81,28.72,9.09,Late Delivery
ORD10190,2024-11-15,West,Online,CUST271,Furniture,6,417.31,0.345,2503.89,1640.02,1246.59,393.43,
ORD10191,2024-04-09,West,Store,CUST271,Beauty,1,432.14,0.02,432.14,423.47,274.37,149.1,
ORD10192,2023-10-31,South,Store,CUST426,Electronics,1,343.16,0.332,343.16,229.11,178.73,50.37,
ORD10193,2023-05-24,South,Store,CUST377,Furniture,2,203.69,0.309,407.37,281.47,165.84,115.63,
ORD10194,2023-06-10,West,Partner,CUST330,Furniture,5,165.64,0.322,828.18,561.8,426.3,135.5,
ORD10195,2023-02-20,South,Store,CUST263,Electronics,2,473.67,0.218,947.35,740.79,465.98,274.81,
ORD10196,2023-09-04,West,Online,CUST292,Electronics,7,486.09,0.048,3402.65,3240.54,2497.96,742.58,
ORD10197,2023-01-03,East,Online,CUST437,Sports,3,331.02,0.271,993.05,723.86,422.27,301.58,
ORD10198,2023-01-19,West,Online,CUST417,Electronics,5,216.09,0.136,1080.47,933.67,650.57,283.1,
ORD10199,2023-03-17,North,Online,CUST372,Beauty,2,233.78,0.177,467.55,384.85,290.12,94.72,
ORD10200,2023-08-28,North,Store,CUST321,Sports,5,403.18,0.017,2015.91,1982.39,1549.71,432.68,Other
ORD10201,2024-01-12,South,Online,CUST439,Clothing,6,166.2,0.283,997.18,715.45,408.19,307.26,
ORD10202,2024-08-31,South,Online,CUST359,Sports,2,98.84,0.114,197.68,175.24,125.79,49.45,
ORD10203,2024-10-28,West,Online,CUST271,Sports,3,131.25,0.212,393.75,310.35,222.29,88.06,
ORD10204,2024-06-20,South,Store,CUST319,Clothing,3,450.94,0.33,1352.82,906.63,587.96,318.66,Damaged
ORD10205,2024-09-27,South,Online,CUST319,Electronics,5,405.86,0.019,2029.3,1990.7,1183.75,806.95,
ORD10206,2024-11-21,East,Partner,CUST440,Clothing,3,336.72,0.39,1010.16,616.47,348.66,267.81,Size/Fit
ORD10207,2024-01-17,North,Store,CUST252,Electronics,7,326.6,0.168,2286.18,1901.96,1186.04,715.92,
ORD10208,2024-03-23,West,Online,CUST367,Clothing,6,211.87,0.0,1271.21,1271.14,782.59,488.55,
ORD10209,2024-06-19,East,Store,CUST251,Electronics,5,469.28,0.13,2346.42,2042.53,1188.6,853.93,
ORD10210,2024-09-08,East,Online,CUST230,Furniture,7,267.15,0.293,1870.04,1322.98,831.83,491.15,
ORD10211,2024-02-08,North,Store,CUST150,Beauty,2,330.71,0.065,661.42,618.18,380.0,238.18,
ORD10212,2024-09-13,South,Partner,CUST476,Electronics,7,373.48,0.285,2614.35,1869.34,1483.52,385.82,
ORD10213,2024-04-05,West,Store,CUST240,Sports,3,496.69,0.376,1490.06,929.97,728.47,201.49,Late Delivery
ORD10214,2023-01-02,North,Online,CUST188,Furniture,3,464.39,0.389,1393.18,851.43,626.19,225.24,
ORD10215,2023-05-13,North,Online,CUST158,Electronics,3,499.12,0.207,1497.35,1187.29,775.43,411.86,
ORD10216,2023-10-13,South,Online,CUST475,Clothing,1,426.86,0.102,426.86,383.19,236.81,146.39,
ORD10217,2023-08-03,South,Partner,CUST461,Clothing,1,47.75,0.172,47.75,39.55,25.92,13.63,Late Delivery
ORD10218,2024-07-09,South,Online,CUST156,Electronics,7,93.49,0.288,654.41,465.94,285.76,180.18,
ORD10219,2023-02-08,East,Store,CUST208,Beauty,5,489.86,0.163,2449.28,2051.16,1367.44,683.72,
ORD10220,2023-03-23,East,Store,CUST428,Sports,5,329.13,0.187,1645.66,1338.22,989.79,348.42,Damaged
ORD10221,2024-07-24,South,Store,CUST285,Clothing,7,474.63,0.064,3322.42,3109.7,2335.81,773.89,Late Delivery
ORD10222,2024-10-12,North,Store,CUST353,Electronics,5,158.31,0.082,791.53,726.65,431.06,295.59,
ORD10223,2023-02-04,North,Store,CUST457,Furniture,5,449.37,0.132,2246.85,1949.9,1512.61,437.29,Other
ORD10224,2024-10-07,West,Store,CUST119,Electronics,5,28.6,0.247,143.01,107.74,71.73,36.01,
ORD10225,2023-12-07,South,Store,CUST477,Electronics,6,488.28,0.073,2929.68,2715.93,2158.07,557.86,
ORD10226,2023-08-29,East,Online,CUST353,Electronics,4,105.07,0.085,420.29,384.73,306.3,78.43,
ORD10227,2023-03-16,North,Online,CUST289,Beauty,4,491.14,0.001,1964.55,1961.77,1290.42,671.35,
ORD10228,2024-05-01,South,Store,CUST193,Sports,6,280.35,0.111,1682.09,1495.13,824.04,671.1,Size/Fit
ORD10229,2023-01-28,East,Store,CUST271,Beauty,4,329.87,0.056,1319.48,1245.05,876.06,368.99,
ORD10230,2024-07-02,East,Store,CUST292,Clothing,1,96.87,0.36,96.87,61.97,34.28,27.69,
ORD10231,2024-09-04,West,Online,CUST189,Electronics,7,332.79,0.042,2329.5,2232.2,1680.19,552.01,
ORD10232,2023-09-19,South,Store,CUST116,Sports,3,428.22,0.043,1284.67,1229.04,777.59,451.45,
ORD10233,2023-09-13,North,Store,CUST218,Clothing,4,235.65,0.383,942.58,581.46,419.84,161.62,
ORD10234,2024-04-13,North,Online,CUST155,Sports,4,31.54,0.263,126.17,92.95,69.71,23.24,
ORD10235,2023-08-12,North,Store,CUST123,Beauty,2,117.35,0.18,234.7,192.46,151.79,40.67,
ORD10236,2023-04-23,South,Online,CUST147,Furniture,2,408.43,0.379,816.85,507.06,337.81,169.26,
ORD10237,2023-08-19,West,Online,CUST448,Clothing,4,417.23,0.345,1668.91,1093.67,835.02,258.65,
ORD10238,2023-08-25,East,Store,CUST324,Furniture,3,95.76,0.045,287.29,274.43,213.98,60.45,
ORD10239,2024-04-15,East,Store,CUST355,Furniture,1,369.16,0.122,369.16,324.2,193.11,131.09,
ORD10240,2024-09-14,North,Online,CUST167,Sports,3,494.45,0.035,1483.35,1431.89,1029.99,401.9,
ORD10241,2024-02-09,South,Online,CUST200,Clothing,1,42.89,0.053,42.89,40.6,24.8,15.81,
ORD10242,2024-01-18,North,Store,CUST222,Beauty,2,123.53,0.062,247.07,231.63,139.16,92.47,
