Year,Month,Region,Channel,NewSales,AvgSaleValue,MarketingCost,OperationalCost,CustomerSatisfaction,TotalRevenue,Profit,ROI,CostPerSale
2020,2,South,Online,773,1032.36,44917.55,50040.11,7.44,798014.28,703056.62,1565.22,64.73
2020,2,South,Online,246,411.13,73072.76,36024.91,7.9,101137.98,-7959.69,-10.89,146.44
2020,2,South,Online,512,876.48,21616.41,66792.23,7.73,448757.76,360349.12,1667.02,130.45
2020,2,East,Partner,983,992.19,14946.97,9999.49,8.22,975322.77,950376.31,6358.32,10.17
2020,2,South,Online,787,848.23,79995.51,29900.05,6.57,667557.01,557661.45,697.12,37.99
2020,2,West,Retail,614,222.07,67506.67,30301.93,9.65,136350.98,38542.38,57.09,49.35
2020,2,South,Online,672,254.57,19388.18,47237.33,9.29,171071.04,104445.53,538.71,70.29
2020,2,East,Retail,173,248.36,68460.04,13493.26,7.31,42966.28,-38987.02,-56.95,78.0
2020,2,South,Partner,759,746.93,62419.16,11675.73,6.23,566919.87,492824.98,789.54,15.38
2020,2,North,Online,909,618.39,62181.36,19462.97,8.77,562116.51,480472.18,772.69,21.41
2020,2,West,Partner,442,868.88,98704.07,71187.13,7.75,384044.96,214153.76,216.97,161.06
2020,2,South,Retail,470,1097.39,76368.83,14484.82,8.83,515773.3,424919.65,556.4,30.82
2020,2,South,Retail,286,1058.7,54706.91,61073.89,7.7,302788.2,187007.4,341.84,213.55
2020,2,North,Online,414,744.26,82073.63,28238.53,9.24,308123.64,197811.48,241.02,68.21
2020,2,South,Retail,371,338.37,95703.76,22747.48,6.46,125535.27,7084.03,7.4,61.31
2020,2,South,Partner,402,1152.06,14682.14,23449.98,6.17,463128.12,424996.0,2894.65,58.33
2020,2,South,Retail,302,768.96,93987.36,25137.51,7.42,232225.92,113101.05,120.34,83.24
2020,3,South,Online,228,1027.3,17686.27,46205.89,8.56,234224.4,170332.24,963.08,202.66
2020,3,West,Online,295,1024.47,49410.99,71093.8,6.64,302218.65,181713.86,367.76,241.0
2020,3,South,Partner,217,952.47,78878.47,61262.06,9.99,206685.99,66545.46,84.36,282.31
2020,3,North,Online,240,234.67,95291.76,8583.6,8.45,56320.8,-47554.56,-49.9,35.76
2020,3,South,Partner,524,1065.56,97466.08,65859.95,7.57,558353.44,395027.41,405.3,125.69
2020,3,West,Retail,998,629.06,24956.65,43784.89,9.84,627801.88,559060.34,2240.13,43.87
2020,3,South,Retail,835,806.0,14515.78,33770.68,6.66,673010.0,624723.54,4303.75,40.44
2020,3,East,Retail,968,318.22,75984.43,30057.85,8.46,308036.96,201994.68,265.84,31.05
2020,3,West,Retail,187,930.87,62268.04,10380.15,7.79,174072.69,101424.5,162.88,55.51
2020,3,South,Partner,457,980.21,23195.31,16204.95,4.8,447955.97,408555.71,1761.37,35.46
2020,3,West,Online,521,346.7,73772.52,76969.41,6.75,180630.7,29888.77,40.51,147.73
2020,3,West,Retail,208,498.27,99608.07,41313.84,7.78,103640.16,-37281.75,-37.43,198.62
2020,3,South,Online,109,1008.27,39996.99,19281.01,10.0,109901.43,50623.43,126.57,176.89
2020,3,North,Online,251,513.7,31450.35,65441.84,6.79,128938.7,32046.51,101.9,260.72
2020,3,West,Online,825,206.05,41727.63,14677.73,6.72,169991.25,113585.89,272.21,17.79
2020,3,West,Retail,349,941.57,27638.22,64196.8,7.07,328607.93,236772.91,856.69,183.94
2020,3,West,Retail,838,457.06,80805.07,19534.18,5.75,383016.28,282677.03,349.83,23.31
2020,4,West,Online,763,642.11,81819.82,25841.83,7.62,489929.93,382268.28,467.21,33.87
2020,4,South,Retail,350,819.39,91893.71,7436.49,7.95,286786.5,187456.3,203.99,21.25
2020,4,South,Online,598,302.84,56135.37,9151.99,8.24,181098.32,115810.96,206.31,15.3
2020,4,North,Partner,331,433.33,53670.74,41186.98,6.23,143432.23,48574.51,90.5,124.43
2020,4,South,Retail,777,930.22,61889.05,17875.86,5.29,722780.94,643016.03,1038.98,23.01
2020,4,West,Online,387,641.83,75279.38,22421.72,6.21,248388.21,150687.11,200.17,57.94
2020,4,West,Retail,737,688.18,50317.45,65503.09,7.16,507188.66,391368.12,777.8,88.88
2020,4,West,Online,955,629.67,67908.61,7966.81,6.1,601334.85,525459.43,773.77,8.34
2020,4,South,Partner,706,262.43,98755.91,65442.94,9.3,185275.58,21076.73,21.34,92.7
2020,4,East,Retail,760,796.05,98611.83,65328.08,6.55,604998.0,441058.09,447.27,85.96
2020,4,South,Online,141,978.05,43185.26,39635.49,6.37,137905.05,55084.3,127.55,281.1
2020,4,East,Online,679,277.86,56652.89,23957.44,8.43,188666.94,108056.61,190.73,35.28
2020,4,East,Online,459,825.43,46316.8,24221.93,8.51,378872.37,308333.64,665.71,52.77
2020,4,East,Retail,655,842.8,13164.33,70625.65,7.79,552034.0,468244.02,3556.91,107.83
2020,4,South,Retail,568,683.86,75041.52,37273.73,8.35,388432.48,276117.23,367.95,65.62
2020,4,North,Partner,983,1126.06,21397.34,8043.93,8.38,1106916.98,1077475.71,5035.56,8.18
2020,4,South,Retail,793,319.38,31909.84,17187.38,7.81,253268.34,204171.12,639.84,21.67
2020,5,West,Retail,994,300.25,46577.49,36328.14,7.95,298448.5,215542.87,462.76,36.55
2020,5,North,Partner,368,356.32,89590.91,62513.67,8.53,131125.76,-20978.82,-23.42,169.87
2020,5,West,Partner,424,937.95,23656.86,25121.54,10.0,397690.8,348912.4,1474.89,59.25
2020,5,East,Partner,923,1089.91,47544.79,8081.18,7.76,1005986.93,950360.96,1998.88,8.76
2020,5,North,Retail,932,1191.96,88997.45,31046.64,7.46,1110906.72,990862.63,1113.36,33.31
2020,5,North,Retail,757,825.33,26124.75,51693.15,7.98,624774.81,546956.91,2093.64,68.29
2020,5,West,Partner,422,269.39,93421.68,68413.31,7.48,113682.58,-48152.41,-51.54,162.12
2020,5,South,Online,223,756.58,10556.54,50522.98,7.94,168717.34,107637.82,1019.63,226.56
2020,5,East,Retail,235,303.43,11277.7,46935.25,7.34,71306.05,13093.1,116.1,199.72
2020,5,West,Online,589,602.7,30194.47,71128.17,8.48,354990.3,253667.66,840.11,120.76
2020,5,South,Partner,603,1154.57,38155.08,65577.68,6.06,696205.71,592472.95,1552.8,108.75
2020,5,South,Partner,249,877.55,78098.19,74865.83,7.12,218509.95,65545.93,83.93,300.67
2020,5,East,Online,280,999.16,76170.57,38663.85,6.59,279764.8,164930.38,216.53,138.09
2020,5,East,Online,904,810.11,37851.63,72217.72,7.78,732339.44,622270.09,1643.97,79.89
2020,5,East,Partner,667,223.95,19312.76,65143.55,8.2,149374.65,64918.34,336.14,97.67
2020,5,South,Online,401,755.13,70941.18,76071.77,7.48,302807.13,155794.18,219.61,189.71
2020,5,West,Online,742,710.57,58131.95,16417.12,7.8,527242.94,452693.87,778.74,22.13
2020,5,West,Online,898,675.48,86642.33,74740.29,8.22,606581.04,445198.42,513.83,83.23
2020,5,West,Online,695,1029.56,74626.13,14826.1,8.02,715544.2,626091.97,838.97,21.33
2020,5,East,Partner,848,1181.26,56216.61,69004.68,7.69,1001708.48,876487.19,1559.12,81.37
2020,5,North,Partner,769,440.8,60736.34,41958.6,6.78,338975.2,236280.26,389.03,54.56
2020,5,East,Partner,291,1119.21,35620.73,48011.88,7.6,325690.11,242057.5,679.54,164.99
2020,5,South,Online,308,593.64,73295.2,9920.06,6.14,182841.12,99625.86,135.92,32.21
2020,5,East,Online,105,579.74,85883.04,72255.99,6.56,60872.7,-97266.33,-113.25,688.15
2020,6,West,Online,313,305.87,76341.92,68190.37,7.95,95737.31,-48794.98,-63.92,217.86
2020,6,North,Retail,196,1190.33,92152.07,11110.54,8.03,233304.68,130042.07,141.12,56.69
2020,6,East,Partner,980,225.77,64932.67,19500.44,8.36,221254.6,136821.49,210.71,19.9
2020,6,East,Partner,570,1097.96,21350.38,53392.82,7.5,625837.2,551094.0,2581.19,93.67
2020,6,West,Partner,656,863.82,58198.82,65571.94,6.35,566665.92,442895.16,761.0,99.96
2020,6,East,Partner,832,700.28,65356.28,63713.65,7.45,582632.96,453563.03,693.99,76.58
2020,6,North,Online,500,644.1,48862.64,10888.24,9.79,322050.0,262299.12,536.81,21.78
2020,6,East,Retail,228,666.18,71315.39,46690.31,6.5,151889.04,33883.34,47.51,204.78
2020,6,North,Retail,375,776.98,69608.61,31378.24,6.97,291367.5,190380.65,273.5,83.68
2020,6,North,Retail,751,545.48,64871.37,45761.33,8.46,409655.48,299022.78,460.95,60.93
2020,6,West,Online,754,280.62,56687.31,47840.97,8.82,211587.48,107059.2,188.86,63.45
2020,6,North,Retail,213,240.29,79098.82,37833.61,8.77,51181.77,-65750.66,-83.12,177.62
2020,6,East,Retail,636,843.96,81551.04,30844.74,8.18,536758.56,424362.78,520.36,48.5
2020,6,West,Retail,808,614.14,94868.45,27823.07,6.98,496225.12,373533.6,393.74,34.43
2020,6,West,Retail,529,369.89,69600.89,12353.34,8.85,195671.81,113717.58,163.39,23.35
2020,6,South,Retail,459,488.18,60813.47,7833.84,9.04,224074.62,155427.31,255.58,17.07
2020,6,West,Online,171,516.94,15096.3,69923.38,9.3,88396.74,3377.06,22.37,408.91
2020,6,North,Retail,801,1036.44,22948.85,65199.22,6.98,830188.44,742040.37,3233.45,81.4
2020,6,East,Online,624,897.02,62958.81,18719.22,6.68,559740.48,478062.45,759.33,30.0
2020,6,North,Partner,523,603.48,28082.02,71512.37,6.59,315620.04,216025.65,769.27,136.73
2020,6,North,Retail,283,834.91,23444.35,76048.02,7.06,236279.53,136787.16,583.45,268.72
2020,6,West,Online,294,555.96,53783.45,19361.72,6.78,163452.24,90307.07,167.91,65.86
2020,6,South,Retail,977,746.68,94938.97,7341.02,6.2,729506.36,627226.37,660.66,7.51
2020,6,North,Online,336,1048.47,19756.03,57039.75,9.41,352285.92,275490.14,1394.46,169.76
2020,6,West,Partner,155,823.21,56103.45,39121.31,7.82,127597.55,32372.79,57.7,252.4
2020,6,South,Partner,262,1057.93,23626.94,58558.94,6.35,277177.66,194991.78,825.29,223.51
2020,6,East,Online,921,458.9,20923.47,12546.5,7.23,422646.9,389176.93,1860.0,13.62
2020,7,West,Retail,471,431.48,70875.85,74057.81,9.09,203227.08,58293.42,82.25,157.24
2020,7,West,Partner,226,283.52,39895.53,11610.67,7.75,64075.52,12569.32,31.51,51.37
2020,7,West,Partner,604,410.32,84381.81,56456.84,7.59,247833.28,106994.63,126.8,93.47
2020,7,South,Online,890,837.77,14436.5,12638.54,6.9,745615.3,718540.26,4977.25,14.2
2020,7,West,Retail,604,1097.94,97741.38,41380.47,10.0,663155.76,524033.91,536.14,68.51
2020,7,South,Retail,482,1102.4,88941.48,5287.27,5.2,531356.8,437128.05,491.48,10.97
2020,7,West,Partner,670,262.04,13595.32,31626.14,7.94,175566.8,130345.34,958.75,47.2
2020,7,East,Retail,570,772.12,25016.37,57355.29,8.19,440108.4,357736.74,1430.01,100.62
2020,7,East,Online,139,610.68,66407.8,61150.41,6.69,84884.52,-42673.69,-64.26,439.93
2020,7,West,Retail,290,964.65,50129.8,66259.5,7.16,279748.5,163359.2,325.87,228.48
2020,7,South,Retail,832,906.37,94284.4,24681.21,7.22,754099.84,635134.23,673.64,29.66
2020,7,North,Online,441,1027.52,95703.41,40704.25,7.37,453136.32,316728.66,330.95,92.3
2020,7,South,Online,214,530.16,84039.17,50380.34,6.96,113454.24,-20965.27,-24.95,235.42
2020,7,North,Online,559,577.36,74229.43,50987.78,8.59,322744.24,197527.03,266.1,91.21
2020,7,West,Online,349,392.02,54368.44,46425.35,6.69,136814.98,36021.19,66.25,133.02
2020,7,South,Retail,228,890.05,11903.48,68184.81,7.47,202931.4,122843.11,1031.99,299.06
2020,7,North,Partner,989,1097.96,66325.71,52495.17,5.72,1085882.44,967061.56,1458.05,53.08
2020,7,South,Partner,525,527.84,85797.44,72127.54,6.37,277116.0,119191.02,138.92,137.39
2020,7,North,Partner,121,673.44,46227.37,56796.15,6.97,81486.24,-21537.28,-46.59,469.39
2020,7,North,Online,528,522.07,42989.61,18635.63,7.41,275652.96,214027.72,497.86,35.29
2020,8,West,Online,611,603.21,60235.41,67721.85,5.23,368561.31,240604.05,399.44,110.84
2020,8,South,Partner,871,455.34,39509.56,78107.01,5.98,396601.14,278984.57,706.12,89.68
2020,8,West,Partner,312,803.53,59176.64,76305.85,7.38,250701.36,115218.87,194.7,244.57
2020,8,West,Online,857,591.91,29689.45,31417.32,8.72,507266.87,446160.1,1502.76,36.66
2020,8,North,Online,739,872.38,25121.8,9367.84,7.14,644688.82,610199.18,2428.96,12.68
2020,8,North,Retail,636,667.68,55175.09,59212.94,7.68,424644.48,310256.45,562.31,93.1
2020,8,East,Partner,528,882.53,52446.37,58546.85,6.6,465975.84,354982.62,676.85,110.88
2020,8,West,Partner,933,374.65,90397.4,5747.69,7.53,349548.45,253403.36,280.32,6.16
2020,8,East,Partner,606,897.83,46447.17,64440.48,6.73,544084.98,433197.33,932.67,106.34
2020,8,West,Retail,513,417.89,38481.14,72622.34,8.37,214377.57,103274.09,268.38,141.56
2020,8,South,Retail,633,361.92,73362.83,22952.74,6.91,229095.36,132779.79,180.99,36.26
2020,8,East,Online,938,298.01,93570.0,68793.51,7.99,279533.38,117169.87,125.22,73.34
2020,8,North,Online,533,323.28,34132.89,9282.43,6.87,172308.24,128892.92,377.62,17.42
2020,8,East,Online,933,928.66,78403.14,77432.78,6.88,866439.78,710603.86,906.35,82.99
2020,8,East,Retail,610,778.36,70770.78,74861.78,5.47,474799.6,329167.04,465.12,122.72
2020,8,South,Online,629,431.08,88726.93,27361.28,5.66,271149.32,155061.11,174.76,43.5
2020,8,North,Partner,930,1059.11,92098.74,40311.23,9.24,984972.3,852562.33,925.7,43.35
2020,8,West,Partner,152,882.54,42509.45,42000.62,9.32,134146.08,49636.01,116.76,276.32
2020,8,East,Partner,270,712.87,56554.5,43783.84,6.5,192474.9,92136.56,162.92,162.16
2020,8,North,Partner,793,712.39,71625.26,70014.14,9.64,564925.27,423285.87,590.97,88.29
2020,8,South,Retail,942,310.6,31089.26,14943.06,7.53,292585.2,246552.88,793.05,15.86
2020,8,East,Partner,580,591.81,71222.56,38228.0,8.32,343249.8,233799.24,328.27,65.91
2020,8,West,Retail,970,498.07,16499.19,65954.97,8.25,483127.9,400673.74,2428.44,67.99
2020,8,West,Retail,212,1014.38,31496.06,31624.63,6.03,215048.56,151927.87,482.37,149.17
2020,8,South,Online,663,863.31,20469.86,79032.51,8.37,572374.53,472872.16,2310.09,119.2
2020,8,East,Online,514,732.47,92020.76,39507.7,8.1,376489.58,244961.12,266.2,76.86
2020,9,West,Partner,120,1134.3,55442.03,47660.96,6.61,136116.0,33013.01,59.55,397.17
2020,9,East,Partner,928,859.51,32476.98,35652.47,8.1,797625.28,729495.83,2246.19,38.42
2020,9,West,Retail,931,429.99,15261.22,42883.67,6.64,400320.69,342175.8,2242.13,46.06
2020,9,West,Partner,292,993.82,69520.84,13605.65,8.6,290195.44,207068.95,297.85,46.59
2020,9,North,Partner,617,934.15,35364.25,50284.46,7.39,576370.55,490721.84,1387.62,81.5
2020,9,West,Online,434,213.68,52094.86,32887.76,8.67,92737.12,7754.5,14.89,75.78
2020,9,South,Partner,670,588.73,99125.67,31714.55,7.35,394449.1,263608.88,265.93,47.34
2020,9,West,Online,888,782.71,61884.0,74002.86,7.1,695046.48,559159.62,903.56,83.34
2020,9,North,Retail,986,956.25,22040.03,42094.78,7.41,942862.5,878727.69,3986.96,42.69
2020,9,North,Partner,503,718.56,38410.16,13290.74,4.88,361435.68,309734.78,806.39,26.42
2020,9,South,Online,686,296.97,40815.56,21015.31,8.5,203721.42,141890.55,347.64,30.63
2020,9,West,Retail,884,869.22,96217.4,69194.39,8.57,768390.48,602978.69,626.68,78.27
2020,9,East,Partner,192,485.63,33911.7,8926.04,8.32,93240.96,50403.22,148.63,46.49
2020,9,South,Online,244,998.66,71801.08,6509.13,5.71,243673.04,165362.83,230.31,26.68
2020,9,North,Online,957,576.68,47454.49,20617.39,7.46,551882.76,483810.88,1019.53,21.54
2020,9,East,Retail,511,845.73,42538.62,33761.08,7.39,432168.03,355868.33,836.58,66.07
2020,9,East,Online,386,711.11,50985.54,75748.26,7.97,274488.46,147754.66,289.8,196.24
2020,9,West,Partner,407,630.54,45045.08,41483.18,5.38,256629.78,170101.52,377.63,101.92
2020,9,West,Online,100,574.82,31509.79,55179.01,9.15,57482.0,-29206.8,-92.69,551.79
2020,9,West,Online,291,441.17,58382.3,20789.64,7.12,128380.47,49208.53,84.29,71.44
2020,9,North,Partner,598,433.57,61821.32,42608.11,6.2,259274.86,154845.43,250.47,71.25
2020,9,North,Partner,677,809.81,40485.97,12959.75,7.93,548241.37,494795.65,1222.14,19.14
2020,9,West,Online,989,633.69,42549.95,34720.79,7.45,626719.41,549448.67,1291.3,35.11
2020,9,East,Online,960,595.05,62179.43,29699.1,6.18,571248.0,479369.47,770.95,30.94
2020,10,North,Partner,440,931.49,19554.43,47199.16,7.41,409855.6,343102.01,1754.6,107.27
2020,10,South,Partner,524,507.22,96731.67,23234.34,8.87,265783.28,145817.27,150.74,44.34
2020,10,West,Partner,564,618.14,93931.0,26470.99,6.91,348630.96,228228.97,242.98,46.93
2020,10,West,Online,500,250.62,52674.22,75876.28,7.93,125310.0,-3240.5,-6.15,151.75
2020,10,South,Retail,118,353.9,74590.85,70502.08,6.61,41760.2,-103332.73,-138.53,597.48
2020,10,East,Retail,929,556.6,58439.81,5637.17,9.45,517081.4,453004.42,775.16,6.07
2020,10,East,Retail,619,699.96,88118.17,33801.43,7.41,433275.24,311355.64,353.34,54.61
2020,10,West,Retail,118,583.22,57537.03,22859.36,6.68,68819.96,-11576.43,-20.12,193.72
2020,10,West,Online,782,416.33,52053.49,75383.57,7.07,325570.06,198133.0,380.63,96.4
2020,10,South,Partner,557,1078.03,51340.93,59693.02,7.86,600462.71,489428.76,953.29,107.17
2020,10,South,Partner,910,997.51,18221.79,35375.08,7.62,907734.1,854137.23,4687.45,38.87
2020,10,West,Online,355,620.01,76751.57,22006.9,8.19,220103.55,121345.08,158.1,61.99
2020,10,West,Retail,311,1066.42,21349.91,6455.09,8.2,331656.62,303851.62,1423.2,20.76
2020,10,South,Partner,798,1073.04,38801.45,20389.04,6.85,856285.92,797095.43,2054.29,25.55
2020,10,West,Partner,448,1049.1,87741.07,41284.77,7.45,469996.8,340970.96,388.61,92.15
2020,10,North,Online,437,456.65,73937.96,35603.03,5.93,199556.05,90015.06,121.74,81.47
2020,10,West,Retail,279,419.63,32090.9,35751.78,5.56,117076.77,49234.09,153.42,128.14
2020,10,West,Retail,466,548.83,29087.31,51969.45,7.78,255754.78,174698.02,600.6,111.52
2020,10,West,Retail,367,708.89,65466.17,71766.55,7.23,260162.63,122929.91,187.78,195.55
2020,10,North,Retail,592,507.82,23491.83,62782.84,8.2,300629.44,214354.77,912.47,106.05
2020,10,East,Partner,901,542.59,45477.14,72796.48,7.31,488873.59,370599.97,814.91,80.8
2020,10,North,Partner,580,507.68,91532.05,71581.36,7.49,294454.4,131340.99,143.49,123.42
2020,10,North,Online,169,1116.49,73215.88,79201.21,8.58,188686.81,36269.72,49.54,468.65
2020,11,North,Retail,484,757.04,53514.83,68276.04,9.17,366407.36,244616.49,457.1,141.07
2020,11,West,Retail,646,381.18,56326.8,58788.61,9.61,246242.28,131126.87,232.8,91.0
2020,11,South,Online,698,223.71,37872.25,5551.84,6.5,156149.58,112725.49,297.65,7.95
2020,11,North,Online,481,251.29,93646.31,57005.06,7.22,120870.49,-29780.88,-31.8,118.51
2020,11,East,Retail,631,250.42,45028.78,73635.41,6.93,158015.02,39350.83,87.39,116.7
2020,11,South,Online,603,294.42,18219.32,77549.61,7.12,177535.26,81766.33,448.79,128.61
2020,11,South,Retail,143,579.98,72547.31,48270.21,8.46,82937.14,-37880.38,-52.21,337.55
2020,11,East,Partner,544,778.49,97027.17,8686.13,6.3,423498.56,317785.26,327.52,15.97
2020,11,South,Partner,485,643.03,45503.15,74056.73,8.33,311869.55,192309.67,422.63,152.69
2020,11,South,Retail,255,901.74,64659.2,35901.33,8.92,229943.7,129383.17,200.1,140.79
2020,11,North,Online,598,1028.65,33229.69,54609.97,7.64,615132.7,527293.04,1586.81,91.32
2020,11,West,Online,721,831.46,22209.53,35592.07,7.57,599482.66,541681.06,2438.96,49.36
2020,11,North,Partner,683,461.33,98568.05,29004.47,7.52,315088.39,187515.87,190.24,42.47
2020,11,South,Retail,110,506.42,58354.81,14656.58,8.97,55706.2,-17305.19,-29.66,133.24
2020,11,East,Online,454,600.31,24725.46,47474.22,7.66,272540.74,200341.06,810.26,104.57
2020,11,East,Partner,310,871.71,99941.53,16802.87,6.06,270230.1,153485.7,153.58,54.2
2020,11,East,Retail,375,312.59,84694.56,10582.13,6.1,117221.25,21944.56,25.91,28.22
2020,11,East,Partner,830,1142.06,42286.83,37457.53,8.93,947909.8,868165.44,2053.04,45.13
2020,11,South,Retail,713,200.6,14487.41,79376.46,6.59,143027.8,49163.93,339.36,111.33
2020,12,North,Retail,488,928.37,51008.46,59265.09,6.9,453044.56,342771.01,671.99,121.44
2020,12,West,Retail,745,211.3,23316.25,39159.92,8.36,157418.5,94942.33,407.19,52.56
2020,12,West,Partner,608,729.94,44850.08,38045.23,5.53,443803.52,360908.21,804.7,62.57
2020,12,South,Online,388,1005.43,98465.22,71183.09,7.08,390106.84,220458.53,223.89,183.46
2020,12,East,Retail,971,531.97,79703.7,77451.61,9.03,516542.87,359387.56,450.9,79.76
2020,12,South,Retail,334,861.83,17827.03,74464.47,6.25,287851.22,195559.72,1096.98,222.95
2020,12,North,Online,880,1111.34,15768.52,44350.42,7.81,977979.2,917860.26,5820.84,50.4
2020,12,North,Online,430,362.66,83046.43,54157.7,7.31,155943.8,18739.67,22.57,125.95
2020,12,South,Online,541,1009.68,57583.66,49704.79,5.42,546236.88,438948.43,762.28,91.88
2020,12,East,Retail,212,804.36,99790.5,16981.21,7.5,170524.32,53752.61,53.87,80.1
2020,12,North,Partner,841,799.36,83845.68,78143.34,6.4,672261.76,510272.74,608.59,92.92
2020,12,West,Retail,163,683.8,13008.12,37600.86,7.24,111459.4,60850.42,467.79,230.68
2020,12,East,Retail,749,1141.47,91628.7,41229.97,6.48,854961.03,722102.36,788.07,55.05
2020,12,West,Retail,736,750.53,70913.8,26890.04,7.58,552390.08,454586.24,641.04,36.54
2020,12,West,Online,407,748.91,10775.71,23522.41,6.57,304806.37,270508.25,2510.35,57.79
2020,12,West,Partner,767,520.4,71599.18,45632.02,6.9,399146.8,281915.6,393.74,59.49
2020,12,South,Partner,571,613.52,88631.02,70160.08,6.69,350319.92,191528.82,216.1,122.87
2020,12,South,Retail,571,341.2,55552.59,69707.81,6.77,194825.2,69564.8,125.22,122.08
2020,12,North,Retail,570,380.16,33240.41,51691.2,8.66,216691.2,131759.59,396.38,90.69
2020,12,East,Partner,878,404.06,37105.8,39038.49,8.46,354764.68,278620.39,750.88,44.46
2020,12,North,Retail,210,1175.41,72768.85,53739.79,9.55,246836.1,120327.46,165.36,255.9
2020,12,North,Retail,860,848.46,94373.31,45243.36,7.53,729675.6,590058.93,625.24,52.61
2020,12,East,Retail,595,411.75,82285.35,45755.44,6.94,244991.25,116950.46,142.13,76.9
2021,1,North,Online,965,276.8,69247.67,46240.77,9.17,267112.0,151623.56,218.96,47.92
2021,1,South,Retail,720,829.82,61912.71,77494.31,8.15,597470.4,458063.38,739.85,107.63
2021,1,East,Online,963,595.16,66769.34,75005.98,8.33,573139.08,431363.76,646.05,77.89
2021,1,West,Retail,525,360.23,17174.36,19245.11,8.72,189120.75,152701.28,889.12,36.66
2021,1,West,Partner,715,773.95,65495.98,9867.45,8.04,553374.25,478010.82,729.83,13.8
2021,1,West,Retail,124,756.19,17490.08,29022.41,7.63,93767.56,47255.07,270.18,234.05
2021,1,North,Partner,729,1179.15,52246.62,10291.25,7.59,859600.35,797062.48,1525.58,14.12
2021,1,West,Partner,368,893.42,61407.93,19329.66,7.23,328778.56,248040.97,403.92,52.53
2021,1,South,Retail,627,1072.86,61228.58,27624.67,7.47,672683.22,583829.97,953.53,44.06
2021,1,West,Retail,158,819.17,74621.28,61174.93,8.02,129428.86,-6367.35,-8.53,387.18
2021,1,North,Partner,927,614.83,16123.36,31003.91,8.01,569947.41,522820.14,3242.63,33.45
2021,1,West,Online,550,496.33,40039.89,60566.24,6.09,272981.5,172375.37,430.51,110.12
2021,1,East,Retail,880,786.62,54280.16,27707.57,7.21,692225.6,610237.87,1124.24,31.49
2021,1,South,Partner,314,534.19,66308.49,49925.83,7.26,167735.66,51501.34,77.67,159.0
2021,1,West,Retail,195,787.99,71440.4,40637.81,8.21,153658.05,41579.84,58.2,208.4
2021,1,East,Partner,205,420.65,16055.62,32163.62,6.89,86233.25,38014.01,236.76,156.9
2021,1,North,Online,819,981.89,63643.92,75111.65,6.27,804167.91,665412.34,1045.52,91.71
2021,1,North,Online,948,951.28,44048.4,31298.2,6.74,901813.44,826466.84,1876.27,33.01
2021,1,South,Partner,952,206.98,81217.96,41226.06,6.55,197044.96,74600.94,91.85,43.3
2021,1,East,Partner,343,744.63,96610.43,18768.47,6.32,255408.09,140029.19,144.94,54.72
2021,1,East,Partner,951,669.04,96896.61,9018.24,8.84,636257.04,530342.19,547.33,9.48
2021,1,West,Retail,532,289.76,27837.67,32309.08,7.43,154152.32,94005.57,337.69,60.73
2021,1,East,Partner,290,268.44,72273.46,25866.29,8.64,77847.6,-20292.15,-28.08,89.19
2021,2,West,Retail,713,431.38,48623.45,19620.71,6.6,307573.94,239329.78,492.21,27.52
2021,2,East,Online,543,1032.93,33616.75,11244.32,7.67,560880.99,516019.92,1535.01,20.71
2021,2,North,Retail,376,451.17,39918.4,63343.21,5.19,169639.92,66378.31,166.28,168.47
